GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
H_Union,1935,2040,0.0
H_Union,1935,2045,0.0
H_Union,1935,2050,0.0
H_Belmonte,1939,2023,0.0
H_Belmonte,1939,2025,0.0
H_Belmonte,1939,2030,0.0
H_Belmonte,1939,2035,0.0
H_Belmonte,1939,2040,0.0
H_Belmonte,1939,2045,0.0
H_Belmonte,1939,2050,0.0
H_Ovejas,1939,2023,0.0
H_Ovejas,1939,2025,0.0
H_Ovejas,1939,2030,0.0
H_Ovejas,1939,2035,0.0
H_Ovejas,1939,2040,0.0
H_Ovejas,1939,2045,0.0
H_Ovejas,1939,2050,0.0
H_Nima,1942,2023,0.0
H_Nima,1942,2025,0.0
H_Nima,1942,2030,0.0
H_Nima,1942,2035,0.0
H_Nima,1942,2040,0.0
H_Nima,1942,2045,0.0
H_Nima,1942,2050,0.0
H_Bayona,1943,2023,0.0
H_Bayona,1943,2025,0.0
H_Bayona,1943,2030,0.0
H_Bayona,1943,2035,0.0
H_Bayona,1943,2040,0.0
H_Bayona,1943,2045,0.0
H_Bayona,1943,2050,0.0
H_Cascada,1954,2023,0.0
H_Cascada,1954,2025,0.0
H_Cascada,1954,2030,0.0
H_Cascada,1954,2035,0.0
H_Cascada,1954,2040,0.0
H_Cascada,1954,2045,0.0
H_Cascada,1954,2050,0.0
H_CascadaAbe,2007,2023,0.0
H_CascadaAbe,2007,2025,0.0
H_CascadaAbe,2007,2030,0.0
H_CascadaAbe,2007,2035,0.0
H_CascadaAbe,2007,2040,0.0
H_CascadaAbe,2007,2045,0.0
H_CascadaAbe,2007,2050,0.0
H_LasPalmas,1954,2023,0.0
H_LasPalmas,1954,2025,0.0
H_LasPalmas,1954,2030,0.0
H_LasPalmas,1954,2035,0.0
H_LasPalmas,1954,2040,0.0
H_LasPalmas,1954,2045,0.0
H_LasPalmas,1954,2050,0.0
H_RioFrioI,1954,2023,0.0
H_RioFrioI,1954,2025,0.0
H_RioFrioI,1954,2030,0.0
H_RioFrioI,1954,2035,0.0
H_RioFrioI,1954,2040,0.0
H_RioFrioI,1954,2045,0.0
H_RioFrioI,1954,2050,0.0
H_RioSapuye,1954,2023,0.0
H_RioSapuye,1954,2025,0.0
H_RioSapuye,1954,2030,0.0
H_RioSapuye,1954,2035,0.0
H_RioSapuye,1954,2040,0.0
H_RioSapuye,1954,2045,0.0
H_RioSapuye,1954,2050,0.0
H_IquiraI,1955,2023,0.0
H_IquiraI,1955,2025,0.0
H_IquiraI,1955,2030,0.0
H_IquiraI,1955,2035,0.0
H_IquiraI,1955,2040,0.0
H_IquiraI,1955,2045,0.0
H_IquiraI,1955,2050,0.0
H_CampestreC,1956,2023,0.0
H_CampestreC,1956,2025,0.0
H_CampestreC,1956,2030,0.0
H_CampestreC,1956,2035,0.0
H_CampestreC,1956,2040,0.0
H_CampestreC,1956,2045,0.0
H_CampestreC,1956,2050,0.0
H_VentanaA,1957,2023,0.0
H_VentanaA,1957,2025,0.0
H_VentanaA,1957,2030,0.0
H_VentanaA,1957,2035,0.0
H_VentanaA,1957,2040,0.0
H_VentanaA,1957,2045,0.0
H_VentanaA,1957,2050,0.0
H_VentanaB,1957,2023,0.0
H_VentanaB,1957,2025,0.0
H_VentanaB,1957,2030,0.0
H_VentanaB,1957,2035,0.0
H_VentanaB,1957,2040,0.0
H_VentanaB,1957,2045,0.0
H_VentanaB,1957,2050,0.0
H_Mondomo,1958,2023,0.0
H_Mondomo,1958,2025,0.0
H_Mondomo,1958,2030,0.0
H_Mondomo,1958,2035,0.0
H_Mondomo,1958,2040,0.0
H_Mondomo,1958,2045,0.0
H_Mondomo,1958,2050,0.0
H_Rio_Recio,1958,2023,0.0
H_Rio_Recio,1958,2025,0.0
H_Rio_Recio,1958,2030,0.0
H_Rio_Recio,1958,2035,0.0
H_Rio_Recio,1958,2040,0.0
H_Rio_Recio,1958,2045,0.0
H_Rio_Recio,1958,2050,0.0
H_RioBobo,1960,2023,0.0
H_RioBobo,1960,2025,0.0
H_RioBobo,1960,2030,0.0
H_RioBobo,1960,2035,0.0
H_RioBobo,1960,2040,0.0
H_RioBobo,1960,2045,0.0
H_RioBobo,1960,2050,0.0
H_RioPalo,1960,2023,0.0
H_RioPalo,1960,2025,0.0
H_RioPalo,1960,2030,0.0
H_RioPalo,1960,2035,0.0
H_RioPalo,1960,2040,0.0
H_RioPalo,1960,2045,0.0
H_RioPalo,1960,2050,0.0
ESMERALDA,1963,2023,0.0
ESMERALDA,1963,2025,0.0
ESMERALDA,1963,2030,0.0
ESMERALDA,1963,2035,0.0
ESMERALDA,1963,2040,0.0
ESMERALDA,1963,2045,0.0
ESMERALDA,1963,2050,0.0
H_IquiraII,1965,2023,0.0
H_IquiraII,1965,2025,0.0
H_IquiraII,1965,2030,0.0
H_IquiraII,1965,2035,0.0
H_IquiraII,1965,2040,0.0
H_IquiraII,1965,2045,0.0
H_IquiraII,1965,2050,0.0
H_LaPita,1965,2023,0.0
H_LaPita,1965,2025,0.0
H_LaPita,1965,2030,0.0
H_LaPita,1965,2035,0.0
H_LaPita,1965,2040,0.0
H_LaPita,1965,2045,0.0
H_LaPita,1965,2050,0.0
CALIMA,1967,2023,0.0
CALIMA,1967,2025,0.0
CALIMA,1967,2030,0.0
CALIMA,1967,2035,0.0
CALIMA,1967,2040,0.0
CALIMA,1967,2045,0.0
CALIMA,1967,2050,0.0
SANFRANCISCO,1969,2023,0.0
SANFRANCISCO,1969,2025,0.0
SANFRANCISCO,1969,2030,0.0
SANFRANCISCO,1969,2035,0.0
SANFRANCISCO,1969,2040,0.0
SANFRANCISCO,1969,2045,0.0
SANFRANCISCO,1969,2050,0.0
PRADO,1973,2023,0.0
PRADO,1973,2025,0.0
PRADO,1973,2030,0.0
PRADO,1973,2035,0.0
PRADO,1973,2040,0.0
PRADO,1973,2045,0.0
PRADO,1973,2050,0.0
H_Florida,1975,2023,0.0
H_Florida,1975,2025,0.0
H_Florida,1975,2030,0.0
H_Florida,1975,2035,0.0
H_Florida,1975,2040,0.0
H_Florida,1975,2045,0.0
H_Florida,1975,2050,0.0
CHIVOR,1977,2023,0.0
CHIVOR,1977,2025,0.0
CHIVOR,1977,2030,0.0
CHIVOR,1977,2035,0.0
CHIVOR,1977,2040,0.0
CHIVOR,1977,2045,0.0
CHIVOR,1977,2050,0.0
GUATAPE,1980,2023,0.0
GUATAPE,1980,2025,0.0
GUATAPE,1980,2030,0.0
GUATAPE,1980,2035,0.0
GUATAPE,1980,2040,0.0
GUATAPE,1980,2045,0.0
GUATAPE,1980,2050,0.0
H_AuresBajo,1980,2023,0.0
H_AuresBajo,1980,2025,0.0
H_AuresBajo,1980,2030,0.0
H_AuresBajo,1980,2035,0.0
H_AuresBajo,1980,2040,0.0
H_AuresBajo,1980,2045,0.0
H_AuresBajo,1980,2050,0.0
H_Barrancas,1980,2023,0.0
H_Barrancas,1980,2025,0.0
H_Barrancas,1980,2030,0.0
H_Barrancas,1980,2035,0.0
H_Barrancas,1980,2040,0.0
H_Barrancas,1980,2045,0.0
H_Barrancas,1980,2050,0.0
H_Cantayus,1980,2023,0.0
H_Cantayus,1980,2025,0.0
H_Cantayus,1980,2030,0.0
H_Cantayus,1980,2035,0.0
H_Cantayus,1980,2040,0.0
H_Cantayus,1980,2045,0.0
H_Cantayus,1980,2050,0.0
H_Cauya,1980,2023,0.0
H_Cauya,1980,2025,0.0
H_Cauya,1980,2030,0.0
