GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
S_AutPintuco,2023,pv_solar,Antioquia,Solar,1.41,0,.,168396,22517.7
S_AutPintuco,2026,pv_solar,Antioquia,Solar,1.41,0,.,168396,22517.7
S_Palmira3,2023,pv_solar,Surocciden,Solar,7.4,0,.,883782,118178
S_Palmira3,2026,pv_solar,Surocciden,Solar,7.4,0,.,883782,118178
S_Belmonte,2023,pv_solar,Surocciden,Solar,5.06,0,.,604316,80808.2
S_Belmonte,2026,pv_solar,Surocciden,Solar,5.06,0,.,604316,80808.2
S_Termotasajero,2023,pv_solar,Nordeste,Solar,4,0,.,477720,63880
S_Termotasajero,2026,pv_solar,Nordeste,Solar,4,0,.,477720,63880
S_Victoria_I,2023,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_Victoria_I,2026,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_Victoria_II,2023,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_Victoria_II,2026,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_Flandes,2023,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_Flandes,2026,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_BSLI,2023,pv_solar,Oriental,Solar,19.9,0,.,2.37666e+06,317803
S_BSLI,2026,pv_solar,Oriental,Solar,19.9,0,.,2.37666e+06,317803
S_BSLII,2023,pv_solar,Oriental,Solar,19.9,0,.,2.37666e+06,317803
S_BSLII,2026,pv_solar,Oriental,Solar,19.9,0,.,2.37666e+06,317803
S_BSLIII,2023,pv_solar,Oriental,Solar,19.9,0,.,2.37666e+06,317803
S_BSLIII,2026,pv_solar,Oriental,Solar,19.9,0,.,2.37666e+06,317803
S_Espinal,2023,pv_solar,Antioquia,Solar,9.9,0,.,1.18236e+06,158103
S_Espinal,2026,pv_solar,Antioquia,Solar,9.9,0,.,1.18236e+06,158103
