,timestamp,Values_Type,GeneReal
404,2023_Q2_labor_17h,TERMICA,1451124.1078481013
405,2023_Q2_labor_18h,COGENERADOR,68078.81303797469
406,2023_Q2_labor_18h,EOLICA,27852.478481012655
407,2023_Q2_labor_18h,HIDRAULICA,8063687.6810126575
408,2023_Q2_labor_18h,SOLAR,27956.60278481013
409,2023_Q2_labor_18h,TERMICA,1448101.9789873417
410,2023_Q2_labor_19h,COGENERADOR,68930.3082278481
411,2023_Q2_labor_19h,EOLICA,26633.71189873418
412,2023_Q2_labor_19h,HIDRAULICA,8562947.623670885
413,2023_Q2_labor_19h,SOLAR,79.84721518987342
414,2023_Q2_labor_19h,TERMICA,1495991.4079746837
415,2023_Q2_labor_1h,COGENERADOR,73503.97341772153
416,2023_Q2_labor_1h,EOLICA,20618.151012658225
417,2023_Q2_labor_1h,HIDRAULICA,6454106.359493671
418,2023_Q2_labor_1h,SOLAR,0.002531645569620253
419,2023_Q2_labor_1h,TERMICA,1357417.8097468354
420,2023_Q2_labor_20h,COGENERADOR,69421.5735443038
421,2023_Q2_labor_20h,EOLICA,25607.111139240507
422,2023_Q2_labor_20h,HIDRAULICA,8731144.216582278
423,2023_Q2_labor_20h,SOLAR,0.0037974683544303796
424,2023_Q2_labor_20h,TERMICA,1541829.4827848102
425,2023_Q2_labor_21h,COGENERADOR,71013.87303797468
426,2023_Q2_labor_21h,EOLICA,24404.76341772152
427,2023_Q2_labor_21h,HIDRAULICA,8474942.98721519
428,2023_Q2_labor_21h,SOLAR,0.016202531645569618
429,2023_Q2_labor_21h,TERMICA,1552618.4529113923
430,2023_Q2_labor_22h,COGENERADOR,72086.46265822784
431,2023_Q2_labor_22h,EOLICA,23403.527721518985
432,2023_Q2_labor_22h,HIDRAULICA,8011675.823924051
433,2023_Q2_labor_22h,SOLAR,0.01721518987341772
434,2023_Q2_labor_22h,TERMICA,1525291.2582278482
435,2023_Q2_labor_23h,COGENERADOR,71751.16493670887
436,2023_Q2_labor_23h,EOLICA,22508.732278481013
437,2023_Q2_labor_23h,HIDRAULICA,7365945.061898734
438,2023_Q2_labor_23h,SOLAR,0.01772151898734177
439,2023_Q2_labor_23h,TERMICA,1515370.5030379747
440,2023_Q2_labor_2h,COGENERADOR,73728.79189873417
441,2023_Q2_labor_2h,EOLICA,19977.3517721519
442,2023_Q2_labor_2h,HIDRAULICA,6266302.229493671
443,2023_Q2_labor_2h,SOLAR,0.0020253164556962027
444,2023_Q2_labor_2h,TERMICA,1278296.807721519
445,2023_Q2_labor_3h,COGENERADOR,73389.00291139241
446,2023_Q2_labor_3h,EOLICA,18899.853797468353
447,2023_Q2_labor_3h,HIDRAULICA,6130978.89670886
448,2023_Q2_labor_3h,SOLAR,0.009240506329113924
449,2023_Q2_labor_3h,TERMICA,1222959.2973417721
450,2023_Q2_labor_4h,COGENERADOR,73189.48683544304
451,2023_Q2_labor_4h,EOLICA,18085.298101265824
452,2023_Q2_labor_4h,HIDRAULICA,6059434.369493671
453,2023_Q2_labor_4h,SOLAR,0.014050632911392403
454,2023_Q2_labor_4h,TERMICA,1199363.8244303798
455,2023_Q2_labor_5h,COGENERADOR,73252.26405063292
