LOAD_ZONE,timepoints,zone_demand_mw
Antioquia,60,1249.9378481012657
Oriental,60,2464.8044303797465
Nordeste,60,1101.2712658227847
Surocciden,60,2073.635696202532
Caribe,60,2748.3806329113927
Antioquia,61,1282.7022784810126
Nordeste,61,1130.1386075949367
Oriental,61,2529.412911392405
Caribe,61,2820.4218987341774
Surocciden,61,2127.9906329113924
Nordeste,62,1121.3618987341772
Antioquia,62,1272.7406329113924
Caribe,62,2798.517848101266
Oriental,62,2509.769240506329
Surocciden,62,2111.4643037974683
Oriental,63,2522.6911392405063
Caribe,63,2812.9269620253167
Nordeste,63,1127.1354430379747
Surocciden,63,2122.3358227848103
Antioquia,63,1279.2927848101267
Caribe,64,2845.412151898734
Antioquia,64,1294.067341772152
Nordeste,64,1140.152278481013
Oriental,64,2551.8253164556963
Surocciden,64,2146.8462025316458
Caribe,65,2844.141012658228
Antioquia,65,1293.489493670886
Nordeste,65,1139.6420253164556
Surocciden,65,2145.8872151898736
Oriental,65,2550.684683544304
Antioquia,66,1272.7311392405063
Surocciden,66,2111.450506329114
Nordeste,66,1121.353417721519
Oriental,66,2509.7517721518984
Caribe,66,2798.498607594937
Nordeste,67,1092.314556962025
Antioquia,67,1239.7712658227847
Caribe,67,2726.0262025316456
Oriental,67,2444.7575949367088
Surocciden,67,2056.7705063291137
Caribe,68,2860.6764556962025
Nordeste,68,1146.2684810126582
Antioquia,68,1301.0093670886076
Surocciden,68,2158.3627848101264
Oriental,68,2565.5143037974685
Antioquia,69,1327.4648101265825
Oriental,69,2617.6832911392407
Caribe,69,2918.847594936709
Surocciden,69,2202.2527848101267
Nordeste,69,1169.577594936709
Antioquia,70,1297.038227848101
Nordeste,70,1142.7693670886076
Caribe,70,2851.9443037974684
Oriental,70,2557.6830379746834
Surocciden,70,2151.77417721519
Oriental,71,2440.116329113924
Surocciden,71,2052.8662025316453
Nordeste,71,1090.2408860759494
Caribe,71,2720.852025316456
Antioquia,71,1237.4179746835443
Surocciden,72,1919.7492405063288
Antioquia,72,1157.1786075949367
Oriental,72,2281.888734177215
Caribe,72,2544.419746835443
Nordeste,72,1019.5446835443038
Surocciden,73,1686.7407692307693
Nordeste,73,895.8
Caribe,73,2235.593846153846
Antioquia,73,1016.7292307692308
Oriental,73,2004.9284615384613
Oriental,74,1993.413076923077
Surocciden,74,1677.0538461538465
Antioquia,74,1010.8884615384616
Nordeste,74,890.6538461538462
Caribe,74,2222.754615384616
Nordeste,75,855.7638461538462
Surocciden,75,1611.3615384615384
Oriental,75,1915.3246153846155
Caribe,75,2135.683846153846
Antioquia,75,971.2892307692308
Oriental,76,1855.3992307692304
Surocciden,76,1560.945384615385
Antioquia,76,940.9007692307692
Nordeste,76,828.9915384615384
Caribe,76,2068.862307692308
Surocciden,77,1525.1669230769232
Oriental,77,1812.8730769230767
Antioquia,77,919.3346153846154
Nordeste,77,809.9892307692309
Caribe,77,2021.4438461538464
Oriental,78,1792.3184615384614
Surocciden,78,1507.8738461538462
Antioquia,78,908.9115384615384
Nordeste,78,800.8061538461538
Caribe,78,1998.5253846153848
Nordeste,79,788.8892307692307
Antioquia,79,895.3876923076924
Oriental,79,1765.6507692307691
Caribe,79,1968.7892307692307
Surocciden,79,1485.44
Oriental,80,1727.9646153846154
Surocciden,80,1453.7330769230769
Nordeste,80,772.0523076923077
Antioquia,80,876.2769230769231
Caribe,80,1926.7653846153848
Oriental,81,1802.4976923076924
Antioquia,81,914.073846153846
Surocciden,81,1516.4376923076925
Caribe,81,2009.8753846153847
Nordeste,81,805.3538461538462
Surocciden,82,1597.8007692307692
Antioquia,82,963.1153846153846
Caribe,82,2117.713076923077
Nordeste,82,848.5630769230769
Oriental,82,1899.2092307692308
Antioquia,83,1008.4215384615384
Caribe,83,2217.3284615384614
Nordeste,83,888.48
Surocciden,83,1672.9584615384615
Oriental,83,1988.5453846153848
Nordeste,84,921.1792307692308
Antioquia,84,1045.533846153846
Oriental,84,2061.7315384615385
Caribe,84,2298.933076923077
Surocciden,84,1734.5315384615385
Surocciden,85,1785.1392307692308
Nordeste,85,948.0561538461538
Antioquia,85,1076.0384615384614
Caribe,85,2366.0107692307693
