LOAD_ZONE,timepoints,zone_demand_mw
Surocciden,2367,2968.039493670886
Oriental,2367,3527.9272151898736
Nordeste,2367,1576.2737974683546
Caribe,2367,3933.8148101265824
Antioquia,2367,1789.0627848101265
Oriental,2366,3502.7550632911393
Nordeste,2366,1565.0262025316456
Caribe,2366,3905.7463291139243
Surocciden,2366,2946.861898734177
Antioquia,2366,1776.2983544303797
Antioquia,2365,1786.093164556962
Caribe,2365,3927.284810126582
Surocciden,2365,2963.111898734177
Oriental,2365,3522.070886075949
Nordeste,2365,1573.6564556962026
Antioquia,2364,1738.4903797468353
Caribe,2364,3822.614936708861
Nordeste,2364,1531.7151898734178
Oriental,2364,3428.200759493671
Surocciden,2364,2884.1393670886077
Antioquia,2363,1677.290759493671
Caribe,2363,3688.048734177215
Nordeste,2363,1477.7945569620254
Oriental,2363,3307.5188607594937
Surocciden,2363,2782.6103797468354
Caribe,2362,3562.7054430379744
Antioquia,2362,1620.2856962025317
Nordeste,2362,1427.5706329113925
Oriental,2362,3195.1086075949365
Surocciden,2362,2688.0396202531647
Antioquia,2361,1534.6088607594938
Surocciden,2361,2545.9022784810127
Oriental,2361,3026.158987341772
Caribe,2361,3374.3179746835444
Nordeste,2361,1352.0840506329114
Oriental,2360,2868.6129113924053
Nordeste,2360,1281.692405063291
Caribe,2360,3198.646329113924
Antioquia,2360,1454.7145569620252
Surocciden,2360,2413.358987341772
Caribe,2359,3155.6467088607596
Antioquia,2359,1435.1593670886075
Oriental,2359,2830.049746835443
Nordeste,2359,1264.4626582278481
Surocciden,2359,2380.9163291139243
Surocciden,2358,2275.9950632911396
Oriental,2358,2705.3364556962024
Antioquia,2358,1371.9151898734178
Nordeste,2358,1208.7403797468355
Caribe,2358,3016.585316455696
Nordeste,2357,1186.5727848101267
Surocciden,2357,2234.253797468354
Caribe,2357,2961.2617721518986
Antioquia,2357,1346.7549367088607
Oriental,2357,2655.7213924050634
Nordeste,2356,1201.9207594936709
Caribe,2356,2999.5662025316456
Antioquia,2356,1364.1750632911392
Oriental,2356,2690.073670886076
Surocciden,2356,2263.1546835443037
Surocciden,2355,2322.372151898734
Nordeste,2355,1233.3708860759493
Caribe,2355,3078.052911392405
Antioquia,2355,1399.87
Oriental,2355,2760.461772151899
