LOAD_ZONE,timepoints,zone_demand_mw
Caribe,100,2192.6203797468356
Surocciden,100,1654.3181012658229
Antioquia,99,1023.5294936708862
Oriental,99,2018.3403797468357
Caribe,99,2250.551012658228
Nordeste,99,901.7920253164558
Surocciden,99,1698.0260759493672
Surocciden,98,1759.3267088607595
Oriental,98,2091.204683544304
Nordeste,98,934.3469620253165
Caribe,98,2331.7972151898734
Antioquia,98,1060.4801265822784
Caribe,97,2474.4507594936713
Surocciden,97,1866.9577215189875
Oriental,97,2219.1386075949367
Nordeste,97,991.5082278481012
Antioquia,97,1125.3569620253163
Oriental,96,2121.4269230769232
Nordeste,96,947.8507692307692
Antioquia,96,1075.8076923076924
Surocciden,96,1784.753076923077
Caribe,96,2365.496153846154
Antioquia,95,1129.9146153846154
Caribe,95,2484.4715384615383
Nordeste,95,995.5230769230768
Oriental,95,2228.123846153846
Surocciden,95,1874.5184615384617
Antioquia,94,1167.7392307692307
Nordeste,94,1028.8476923076923
Caribe,94,2567.638461538462
Surocciden,94,1937.2684615384615
Oriental,94,2302.712307692308
Antioquia,93,1182.4653846153847
Surocciden,93,1961.6984615384617
Nordeste,93,1041.823846153846
Caribe,93,2600.019230769231
Oriental,93,2331.7523076923076
Surocciden,92,1897.0238461538463
Oriental,92,2254.8753846153845
Nordeste,92,1007.4746153846154
Caribe,92,2514.2992307692307
Antioquia,92,1143.48
Oriental,91,2083.0023076923076
Surocciden,91,1752.426923076923
Antioquia,91,1056.319230769231
Caribe,91,2322.6515384615386
Nordeste,91,930.6823076923077
Antioquia,90,1054.2861538461539
Surocciden,90,1749.0484615384617
Oriental,90,2078.99
Nordeste,90,928.8884615384615
Caribe,90,2318.1761538461537
Caribe,89,2337.972307692308
Antioquia,89,1063.2876923076924
Surocciden,89,1763.9838461538461
Nordeste,89,936.8215384615385
Oriental,89,2096.7423076923073
Surocciden,88,1782.397692307692
Oriental,88,2118.626923076923
Nordeste,88,946.5984615384616
Caribe,88,2362.373076923077
Antioquia,88,1074.3861538461538
Surocciden,87,1806.2069230769232
Oriental,87,2146.9284615384613
Nordeste,87,959.2453846153846
Antioquia,87,1088.7369230769232
Caribe,87,2393.9307692307693
Surocciden,86,1807.353076923077
Nordeste,86,959.853076923077
Caribe,86,2395.45
Antioquia,86,1089.4292307692308
Oriental,86,2148.2884615384614
Antioquia,85,1076.0384615384614
Caribe,85,2366.0107692307693
Nordeste,85,948.0561538461538
Surocciden,85,1785.1392307692308
Oriental,85,2121.886923076923
Surocciden,84,1734.5315384615385
Oriental,84,2061.7315384615385
Caribe,84,2298.933076923077
Antioquia,84,1045.533846153846
Nordeste,84,921.1792307692308
Surocciden,83,1672.9584615384615
Oriental,83,1988.5453846153846
Nordeste,83,888.48
Caribe,83,2217.3284615384614
Antioquia,83,1008.4215384615384
Oriental,82,1899.2092307692308
Nordeste,82,848.5630769230769
Caribe,82,2117.713076923077
Antioquia,82,963.1153846153846
Surocciden,82,1597.8007692307692
Antioquia,81,914.073846153846
Surocciden,81,1516.4376923076923
Oriental,81,1802.4976923076924
Nordeste,81,805.3538461538462
Caribe,81,2009.8753846153847
Surocciden,80,1453.7330769230769
Antioquia,80,876.2769230769231
Caribe,80,1926.7653846153846
Nordeste,80,772.0523076923077
Oriental,80,1727.9646153846154
Antioquia,79,895.3876923076924
Caribe,79,1968.7892307692307
