timestamp,Tech,DispatchGen_MW,Quarter,DayType,Hour,Source,Subplot
2023_Q1_L_8h,Wind,25.6006894,Q1,Labor,8h,Pred,Pred-Labor
2023_Q1_L_9h,Wind,25.492689300000002,Q1,Labor,9h,Pred,Pred-Labor
2023_Q1_L_10h,Wind,25.5676065,Q1,Labor,10h,Pred,Pred-Labor
2023_Q1_L_11h,Wind,25.4144927,Q1,Labor,11h,Pred,Pred-Labor
2023_Q1_L_12h,Wind,25.40313,Q1,Labor,12h,Pred,Pred-Labor
2023_Q1_L_13h,Wind,25.472659399999998,Q1,Labor,13h,Pred,Pred-Labor
2023_Q1_L_14h,Wind,25.735537100000002,Q1,Labor,14h,Pred,Pred-Labor
2023_Q1_L_15h,Wind,26.0831203,Q1,Labor,15h,Pred,Pred-Labor
2023_Q1_L_16h,Wind,26.691334,Q1,Labor,16h,Pred,Pred-Labor
2023_Q1_L_17h,Wind,27.851461,Q1,Labor,17h,Pred,Pred-Labor
2023_Q1_L_18h,Wind,28.595678999999997,Q1,Labor,18h,Pred,Pred-Labor
2023_Q1_L_19h,Wind,28.638130999999998,Q1,Labor,19h,Pred,Pred-Labor
2023_Q1_L_20h,Wind,28.518860000000004,Q1,Labor,20h,Pred,Pred-Labor
2023_Q1_L_21h,Wind,28.189687,Q1,Labor,21h,Pred,Pred-Labor
2023_Q1_L_22h,Wind,27.806894999999997,Q1,Labor,22h,Pred,Pred-Labor
2023_Q1_L_23h,Wind,27.235069,Q1,Labor,23h,Pred,Pred-Labor
2023_Q1_H_0h,Hydro,6178.813283076923,Q1,Holiday,0h,Real,Real-Holiday
2023_Q1_H_1h,Hydro,6022.102306923077,Q1,Holiday,1h,Real,Real-Holiday
2023_Q1_H_2h,Hydro,5782.029816923076,Q1,Holiday,2h,Real,Real-Holiday
2023_Q1_H_3h,Hydro,5633.813815384615,Q1,Holiday,3h,Real,Real-Holiday
2023_Q1_H_4h,Hydro,5513.572894615384,Q1,Holiday,4h,Real,Real-Holiday
2023_Q1_H_5h,Hydro,5478.825117692308,Q1,Holiday,5h,Real,Real-Holiday
2023_Q1_H_6h,Hydro,5445.457604615385,Q1,Holiday,6h,Real,Real-Holiday
2023_Q1_H_7h,Hydro,5268.100906923077,Q1,Holiday,7h,Real,Real-Holiday
2023_Q1_H_8h,Hydro,5318.478623846154,Q1,Holiday,8h,Real,Real-Holiday
2023_Q1_H_9h,Hydro,5577.75703,Q1,Holiday,9h,Real,Real-Holiday
2023_Q1_H_10h,Hydro,5847.701237692308,Q1,Holiday,10h,Real,Real-Holiday
2023_Q1_H_11h,Hydro,6052.752466923077,Q1,Holiday,11h,Real,Real-Holiday
2023_Q1_H_12h,Hydro,6279.769333846154,Q1,Holiday,12h,Real,Real-Holiday
2023_Q1_H_13h,Hydro,6388.95054,Q1,Holiday,13h,Real,Real-Holiday
2023_Q1_H_14h,Hydro,6402.797583076923,Q1,Holiday,14h,Real,Real-Holiday
2023_Q1_H_15h,Hydro,6310.873601538462,Q1,Holiday,15h,Real,Real-Holiday
2023_Q1_H_16h,Hydro,6260.133975384615,Q1,Holiday,16h,Real,Real-Holiday
2023_Q1_H_17h,Hydro,6252.181133076922,Q1,Holiday,17h,Real,Real-Holiday
2023_Q1_H_18h,Hydro,6368.913868461538,Q1,Holiday,18h,Real,Real-Holiday
2023_Q1_H_19h,Hydro,7043.998318461539,Q1,Holiday,19h,Real,Real-Holiday
2023_Q1_H_20h,Hydro,7286.8384892307695,Q1,Holiday,20h,Real,Real-Holiday
