GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,3414,0.00135
AMOYA,3415,80.0
AMOYA,3416,80.0
AMOYA,3417,0.00135
AMOYA,3418,80.0
AMOYA,3419,80.0
AMOYA,3420,0.00135
AMOYA,3421,80.0
AMOYA,3422,0.00135
AMOYA,3423,80.0
AMOYA,3424,80.0
AMOYA,3425,0.00135
AMOYA,3426,80.0
AMOYA,3427,80.0
AMOYA,3428,80.0
AMOYA,3429,50.740205
AMOYA,3430,80.0
AMOYA,3431,80.0
AMOYA,3432,80.0
AMOYA,3433,80.0
AMOYA,3434,0.00781
AMOYA,3435,80.0
AMOYA,3436,80.0
AMOYA,3437,80.0
AMOYA,3438,80.0
AMOYA,3439,58.077663
AMOYA,3440,0.00781
AMOYA,3441,0.00781
AMOYA,3442,0.00781
AMOYA,3443,0.00781
AMOYA,3444,0.00781
AMOYA,3445,80.0
AMOYA,3446,0.00781
AMOYA,3447,80.0
AMOYA,3448,0.00781
AMOYA,3449,80.0
AMOYA,3450,80.0
AMOYA,3451,80.0
AMOYA,3452,52.466527
AMOYA,3453,80.0
AMOYA,3454,80.0
AMOYA,3455,80.0
AMOYA,3456,0.00781
AMOYA,4225,80.0
AMOYA,4226,12.740868
AMOYA,4227,0.00585
AMOYA,4228,0.00585
AMOYA,4229,80.0
AMOYA,4230,80.0
AMOYA,4231,80.0
AMOYA,4232,0.00585
AMOYA,4233,0.00585
AMOYA,4234,0.00585
AMOYA,4235,0.00585
AMOYA,4236,80.0
AMOYA,4237,0.00585
AMOYA,4238,80.0
AMOYA,4239,80.0
AMOYA,4240,0.00585
AMOYA,4241,0.00585
AMOYA,4242,80.0
AMOYA,4243,80.0
AMOYA,4244,80.0
AMOYA,4245,0.00585
AMOYA,4246,0.00585
AMOYA,4247,0.00585
AMOYA,4248,0.00585
AMOYA,4249,80.0
AMOYA,4250,80.0
AMOYA,4251,80.0
AMOYA,4252,0.53926
AMOYA,4253,0.53926
AMOYA,4254,0.53926
AMOYA,4255,80.0
AMOYA,4256,80.0
AMOYA,4257,0.53926
AMOYA,4258,0.53926
AMOYA,4259,0.53926
AMOYA,4260,0.53926
AMOYA,4261,80.0
AMOYA,4262,0.53926
AMOYA,4263,80.0
AMOYA,4264,0.53926
AMOYA,4265,80.0
AMOYA,4266,80.0
AMOYA,4267,0.53926
AMOYA,4268,0.53926
AMOYA,4269,0.53926
AMOYA,4270,0.53926
AMOYA,4271,80.0
AMOYA,4272,45.068467
AMOYA,4273,0.00303
AMOYA,4274,80.0
AMOYA,4275,80.0
AMOYA,4276,0.00303
AMOYA,4277,0.00303
AMOYA,4278,80.0
AMOYA,4279,0.00303
AMOYA,4280,80.0
AMOYA,4281,80.0
AMOYA,4282,80.0
AMOYA,4283,80.0
AMOYA,4284,0.00303
AMOYA,4285,80.0
AMOYA,4286,0.00303
AMOYA,4287,0.00303
AMOYA,4288,0.00303
AMOYA,4289,80.0
AMOYA,4290,80.0
AMOYA,4291,80.0
AMOYA,4292,4.2009284
AMOYA,4293,80.0
AMOYA,4294,80.0
