HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
AMOYA,2405,0.0
AMOYA,2406,0.0
AMOYA,2407,0.0
AMOYA,2408,0.0
AMOYA,2409,0.0
AMOYA,2410,0.0
AMOYA,2411,0.0
AMOYA,2412,3.867709493945211e-08
AMOYA,2413,0.0
AMOYA,2414,0.0
AMOYA,2415,0.0
AMOYA,2416,0.0
AMOYA,2417,0.0
AMOYA,2418,0.0
AMOYA,2419,0.0
AMOYA,2420,0.0
AMOYA,2421,0.0
AMOYA,2422,0.0
AMOYA,2423,0.0
AMOYA,2424,0.0
AMOYA,2425,0.0
AMOYA,2426,0.0
AMOYA,2427,0.0
AMOYA,2428,0.0
AMOYA,2429,0.0
AMOYA,2430,0.0
AMOYA,2431,0.0
AMOYA,2432,0.0
AMOYA,2433,0.0
AMOYA,2434,0.0
AMOYA,2435,0.0
AMOYA,2436,0.0
AMOYA,2437,0.0
AMOYA,2438,0.0
AMOYA,2439,0.0
AMOYA,2440,0.0
AMOYA,2441,0.0
AMOYA,2442,0.0
AMOYA,2443,0.0
AMOYA,2444,0.0
AMOYA,2445,0.0
AMOYA,2446,2.2634162308823064e-07
AMOYA,2447,0.0
AMOYA,2448,0.0
AMOYA,2449,0.0
AMOYA,2450,0.0
AMOYA,2451,0.0
AMOYA,2452,0.0
AMOYA,2453,0.0
AMOYA,2454,0.0
AMOYA,2455,0.0
AMOYA,2456,0.0
AMOYA,2457,0.0
AMOYA,2458,0.0
AMOYA,2459,0.0
AMOYA,2460,0.0
AMOYA,2461,0.0
AMOYA,2462,2.8473520812564195e-08
AMOYA,2463,0.0
AMOYA,2464,0.0
AMOYA,2465,0.0
AMOYA,2466,0.0
AMOYA,2467,0.0
AMOYA,2468,0.0
AMOYA,2469,0.0
AMOYA,2470,0.0
AMOYA,2471,0.0
AMOYA,2472,0.0
AMOYA,2473,0.0
AMOYA,2474,0.0
AMOYA,2475,0.0
AMOYA,2476,0.0
AMOYA,2477,0.0
AMOYA,2478,0.0
AMOYA,2479,0.0
AMOYA,2480,0.0
AMOYA,2481,0.0
AMOYA,2482,0.0
AMOYA,2483,0.0
AMOYA,2484,0.0
AMOYA,2485,0.0
AMOYA,2486,0.0
AMOYA,2487,0.0
AMOYA,2488,0.0
AMOYA,2489,3.544870325423356e-08
AMOYA,2490,0.0
AMOYA,2491,0.0
AMOYA,2492,0.0
AMOYA,2493,0.0
AMOYA,2494,0.0
AMOYA,2495,0.0
AMOYA,2496,0.0
AMOYA,3265,0.0
AMOYA,3266,0.0
AMOYA,3267,0.0
AMOYA,3268,0.0
AMOYA,3269,0.0
